project_name,project_links,type,units
West Bay Condo,https://www.propertyguru.com.sg//project/west-bay-condo-252,condo,318.0
Yong An Park,https://www.propertyguru.com.sg//project/yong-an-park-260,condo,288.0
De Royale,https://www.propertyguru.com.sg//project/de-royale-259,condo,204.0
Grosvenor View,https://www.propertyguru.com.sg//project/grosvenor-view-250,condo,93.0
Emerald Park,https://www.propertyguru.com.sg//project/emerald-park-251,condo,280.0
Waterfall Gardens,https://www.propertyguru.com.sg//project/waterfall-gardens-258,condo,132.0
Four Seasons Park,https://www.propertyguru.com.sg//project/four-seasons-park-268,condo,202.0
Compass Heights,https://www.propertyguru.com.sg//project/compass-heights-267,condo,536.0
Seasons Park,https://www.propertyguru.com.sg//project/seasons-park-264,condo,390.0
Chuan Park,https://www.propertyguru.com.sg//project/chuan-park-273,condo,452.0
Sunglade,https://www.propertyguru.com.sg//project/sunglade-277,condo,475.0
Regent Grove,https://www.propertyguru.com.sg//project/regent-grove-269,condo,553.0
Casablanca,https://www.propertyguru.com.sg//project/casablanca-295,condo,478.0
Quinterra,https://www.propertyguru.com.sg//project/quinterra-294,condo,55.0
East Meadows,https://www.propertyguru.com.sg//project/east-meadows-301,condo,482.0
Central Green,https://www.propertyguru.com.sg//project/central-green-300,condo,412.0
Richmond Park,https://www.propertyguru.com.sg//project/richmond-park-302,condo,159.0
Bullion Park,https://www.propertyguru.com.sg//project/bullion-park-299,condo,473.0
Loyang Valley,https://www.propertyguru.com.sg//project/loyang-valley-306,condo,362.0
Palm Spring,https://www.propertyguru.com.sg//project/palm-spring-282,condo,167.0
Ocean Park,https://www.propertyguru.com.sg//project/ocean-park-293,condo,304.0
Yishun Sapphire,https://www.propertyguru.com.sg//project/yishun-sapphire-296,condo,380.0
Elias Green,https://www.propertyguru.com.sg//project/elias-green-297,condo,419.0
Treasure Place,https://www.propertyguru.com.sg//project/treasure-place-318,condo,54.0
The Clearwater,https://www.propertyguru.com.sg//project/the-clearwater-315,condo,420.0
The Shelford,https://www.propertyguru.com.sg//project/the-shelford-312,condo,215.0
Tanglin Regency,https://www.propertyguru.com.sg//project/tanglin-regency-311,condo,210.0
Chiltern Park,https://www.propertyguru.com.sg//project/chiltern-park-308,condo,500.0
Gallop Gables,https://www.propertyguru.com.sg//project/gallop-gables-309,condo,102.0
Far Horizon Gardens,https://www.propertyguru.com.sg//project/far-horizon-gardens-305,condo,270.0
Horizon Towers,https://www.propertyguru.com.sg//project/horizon-towers-304,condo,210.0
Scenic Heights,https://www.propertyguru.com.sg//project/scenic-heights-324,condo,50.0
Sheares Ville,https://www.propertyguru.com.sg//project/sheares-ville-317,condo,65.0
Bishan Point,https://www.propertyguru.com.sg//project/bishan-point-322,condo,164.0
Hillcrest Arcadia,https://www.propertyguru.com.sg//project/hillcrest-arcadia-338,condo,272.0
The Hillside,https://www.propertyguru.com.sg//project/the-hillside-320,condo,340.0
Pinevale,https://www.propertyguru.com.sg//project/pinevale-327,condo,322.0
The Tropica,https://www.propertyguru.com.sg//project/the-tropica-330,condo,537.0
Parc Palais,https://www.propertyguru.com.sg//project/parc-palais-333,condo,517.0
Grange Residences,https://www.propertyguru.com.sg//project/grange-residences-329,condo,164.0
Le Crescendo,https://www.propertyguru.com.sg//project/le-crescendo-328,condo,228.0
Orange Grove Residences,https://www.propertyguru.com.sg//project/orange-grove-residences-347,condo,60.0
Tropical Spring,https://www.propertyguru.com.sg//project/tropical-spring-361,condo,242.0
Sunrise Gardens,https://www.propertyguru.com.sg//project/sunrise-gardens-376,condo,252.0
Duchess Crest,https://www.propertyguru.com.sg//project/duchess-crest-370,condo,251.0
The Fernhill,https://www.propertyguru.com.sg//project/the-fernhill-366,condo,25.0
The Ladyhill,https://www.propertyguru.com.sg//project/the-ladyhill-363,condo,55.0
The Jade,https://www.propertyguru.com.sg//project/the-jade-348,condo,280.0
Tangerine Grove,https://www.propertyguru.com.sg//project/tangerine-grove-375,condo,125.0
Tanamera Crest,https://www.propertyguru.com.sg//project/tanamera-crest-350,condo,288.0
Eastvale,https://www.propertyguru.com.sg//project/eastvale-343,condo,312.0
Dunman View,https://www.propertyguru.com.sg//project/dunman-view-354,condo,148.0
Faber Crest,https://www.propertyguru.com.sg//project/faber-crest-351,condo,360.0
Westcove Condo,https://www.propertyguru.com.sg//project/westcove-condo-352,condo,234.0
Park West,https://www.propertyguru.com.sg//project/park-west-342,condo,432.0
Thomson 800,https://www.propertyguru.com.sg//project/thomson-800-339,condo,390.0
The Edge on Cairnhill,https://www.propertyguru.com.sg//project/the-edge-on-cairnhill-340,condo,46.0
The Summit,https://www.propertyguru.com.sg//project/the-summit-349,condo,242.0
The Tanamera,https://www.propertyguru.com.sg//project/the-tanamera-355,condo,288.0
The Botanic on Lloyd,https://www.propertyguru.com.sg//project/the-botanic-on-lloyd-346,condo,66.0
Bleu @ East Coast,https://www.propertyguru.com.sg//project/bleu-east-coast-334,condo,62.0
Starville,https://www.propertyguru.com.sg//project/starville-381,condo,250.0
Casabella,https://www.propertyguru.com.sg//project/casabella-372,condo,82.0
Bedok Court,https://www.propertyguru.com.sg//project/bedok-court-377,condo,280.0
The Sensoria,https://www.propertyguru.com.sg//project/the-sensoria-368,condo,73.0
Emery Point,https://www.propertyguru.com.sg//project/emery-point-374,condo,51.0
Vertis,https://www.propertyguru.com.sg//project/vertis-391,condo,42.0
Chestervale,https://www.propertyguru.com.sg//project/chestervale-390,condo,396.0
Seasons View,https://www.propertyguru.com.sg//project/seasons-view-385,condo,188.0
